destination_id,destination,district,best_season,tags,main_category,activities,difficulty_level,accessibility,latitude,longitude,province,description,transportation,attraction_total_reviews,attraction_sample_reviews,destination_image_path,ratings,popularity,crowd_level
1,mount everest (sagarmatha national park),solukhumbu,"Mar-May, Sep-Nov","Mountain, Trekking, Adventure, UNESCO",Trekking & Adventure,"Trek to Base Camp, Mountain Climbing, Sherpa Culture, Photography",Hard,Flight + Multi-day Trek,27.9881,86.925,1,"Rising to 8,848 meters, Mount Everest is the crown jewel of Sagarmatha National Park, a UNESCO World Heritage Site. The park is home to dramatic Himalayan peaks, glaciers, and valleys, as well as the Sherpa people whose culture and monasteries enrich the region. Trekkers flock here for the Everest Base Camp trail, while climbers attempt the summit, making it both a natural wonder and a cultural landmark.","From Kathmandu, travel by flight to Lukla and then trek through Namche Bazaar to reach Sagarmatha National Park near Everest.",8450,A breathtaking UNESCO site offering the ultimate Himalayan adventure.,mount everest (sagarmatha national park)\Mount Everest (Sagarmatha National Park) 1.1.jpeg; mount everest (sagarmatha national park)\Mount Everest (Sagarmatha National Park)1.2.jpeg; mount everest (sagarmatha national park)\Mount Everest (Sagarmatha National Park)1.3.jpeg,4.9,95.7,Moderate
2,dantakali temple,dhankuta,Oct–Mar,Temple; Pilgrimage; Viewpoint,Natural Attractions,Worship; Sunrise/Sunset Viewing; Photography; Cultural Tour,Easy,Road Accessible + Short Hike,26.983,87.2835,1,"Situated in Dharan, the Dantakali Temple is a revered Hindu shrine dedicated to Goddess Dantakali, believed to mark the spot where Goddess Sati’s tooth fell. As one of Nepal’s Shakti Peethas, it draws thousands of devotees during festivals like Dashain and Navaratri. The temple’s pagoda-style architecture and peaceful hillside setting make it both spiritually significant and visually captivating.","From Kathmandu, drive or take a bus to Dharan in Sunsari District and then continue a short ride uphill to Dantakali Temple.",890,A sacred Shakti Peeth revered for its spiritual peace and panoramic Dharan views.,Dantakali Temple\Dantakali Temple 1.1.jpeg; Dantakali Temple\Dantakali Temple1.2.png; Dantakali Temple\Dantakali Temple1.3.jpeg,4.2,65.9,High
3,koshi tappu wildlife reserve,saptari,Oct–Mar,Wildlife; Birdwatching; Nature,Natural Attractions,Wildlife Safari; Birdwatching; Photography; Nature Walks,Easy,Road Accessible,26.6667,87,1,"Established in 1976, Koshi Tappu is Nepal’s smallest wildlife reserve but one of its most important wetlands. Recognized as a Ramsar site, it shelters the rare wild water buffalo (Arna) and over 400 bird species, including migratory waterfowl. Its marshes, mudflats, and reed beds create a paradise for birdwatchers and nature lovers.","From Kathmandu, drive or fly to Biratnagar and continue by road to Koshi Tappu Wildlife Reserve in Sunsari District.",2109,A birdwatcher’s paradise filled with exotic migratory species and wetlands.,Koshi Tappu Wildlife Reserve\Koshi Tappu Wildlife Reserve1.1.jpeg; Koshi Tappu Wildlife Reserve\Koshi Tappu Wildlife Reserve1.2.jpeg; Koshi Tappu Wildlife Reserve\Koshi Tappu Wildlife Reserve1.3.jpeg,4.7,93.6,Very High
4,ilām tea gardens,ilam,Oct–Mar,Tea Garden; Nature; Village,Natural Attractions,Photography; Tea Garden Tours; Walks; Local Experience,Easy,Road Accessible,26.92,88.01,1,"The rolling tea gardens of Ilām stretch across misty hills, producing some of Nepal’s finest tea. Visitors can stroll through lush plantations, learn about tea processing, and enjoy panoramic views of green landscapes dotted with small villages. The gardens are a symbol of Ilām’s identity and a serene escape for travelers.","From Kathmandu, drive or fly to Bhadrapur and continue by road to Ilam where you can explore the scenic tea gardens.",763,Serene green hills blanketed with tea plantations and misty mountain views.,ilām tea gardens\Ilām Tea Gardens1.1.jpeg; ilām tea gardens\Ilām Tea Gardens1.2.jpeg; ilām tea gardens\Ilām Tea Gardens1.3.jpeg; ilām tea gardens\Indrasarovar Lake 1.1.jpeg,4.4,61.1,High
5,bhedetar,dhankuta,Oct–Mar,Hill Town; Nature; Viewpoint,Natural Attractions,Sightseeing; Photography; Picnic; Short Hike,Easy,Road Accessible,26.997,87.285,1,"Just above Dharan, Bhedetar is a hill station known for its cool climate and misty atmosphere. It serves as a gateway to eastern Nepal’s scenic routes and offers panoramic views of the plains and hills. Its unpredictable weather — shifting from sunshine to fog within minutes — adds to its charm.","From Kathmandu, drive to Dharan and continue uphill to reach the hill station of Bhedetar.From Kathmandu, drive to Dharan and continue uphill to the hill station of Bhedetar.",700,A peaceful hill station famous for its cool breeze and scenic Dharan valley overlook. A breezy hilltop town popular for its foggy charm and Dharan views.,Bhedetar\Bhedetar1.1.jpeg; Bhedetar\Bhedetar1.2.jpeg; Bhedetar\Bhedetar1.3.jpeg,4.1,83.9,High
6,limbu villages,tehrathum,Mar–May; Sep–Nov,Cultural Village; Limbu,Cultural & Religious Sites,Cultural Tours; Trekking; Photography,Moderate,Road + Trekking,27.2,87.45,1,"Traditional Limbu settlements in eastern Nepal showcase rich culture, unique architecture, and warm hospitality. Visitors can experience local festivals, taste traditional dishes like tongba (millet beer), and learn about the Limbu people’s deep connection to their land and heritage","From Kathmandu, travel to Ilam or Taplejung by road and visit the traditional Limbu Villages in the region.From Kathmandu, travel toward Taplejung or Panchthar and visit the traditional Limbu Villages.",100,"Authentic Limbu culture and warm rural hospitality amidst lush hills. Rich in Limbu traditions, dances, and authentic highland culture.",Limbu Villages\Limbu Villages1.1.jpeg; Limbu Villages\Limbu Villages1.2.jpeg; Limbu Villages\Limbu Villages1.3.jpeg,4.5,25.4,Low
7,hile,dhankuta,Oct–Mar,Hill Town; Local Market; Trekking Start,Natural Attractions,Market Tour; Local Experience; Photography; Short Treks,Easy,Road Accessible,26.987,87.29,1,"A bustling town in Dhankuta district, Hile is a popular stopover for travelers heading into the hills. Known for its cool weather and lively bazaar, it offers a glimpse into everyday life in eastern Nepal while serving as a hub for trade and culture.","From Kathmandu, drive to Dharan and continue toward Dhankuta to reach Hile.",980,"A charming hill town known for its cool climate, views, and traditional Newari culture.",Chhapahile\download (1).jpeg; Chhapahile\download (2).jpeg; Chhapahile\download (3).jpeg; Chhapahile\download (4).jpeg; Chhapahile\download.jpeg,4,67.7,High
8,rhododendron bloom spots,tehrathum/ilam,Mar–May,Trekking; Nature; Rhododendron,Natural Attractions,Trekking; Rhododendron Viewing; Photography; Camping,Moderate,Road + Trekking,27.21,87.45,1,"In spring, the hills of eastern Nepal burst into color with rhododendrons, Nepal’s national flower. These bloom spots transform forests into vibrant landscapes, attracting trekkers and photographers eager to witness the natural spectacle.","From Kathmandu, travel to Tinjure, Milke, or Jaljale region in Tehrathum to witness rhododendron bloom spots.",112,Hillsides come alive with vibrant red and pink blooms each spring.,Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.1.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.10.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.2.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.3.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.4.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.5.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.7.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.8.jpeg; Rhododendron Bloom Spots\Rhododendron Bloom Spots 1.9.jpeg,4.7,28.1,Low
9,didi-baini waterfall,ilam,Mar–May,Waterfall; Nature; Picnic Spot,Natural Attractions,Sightseeing; Photography; Picnic,Easy,Road Accessible,26.9833,87.9833,1,"Located near Dharan, this twin waterfall is a refreshing retreat surrounded by greenery. Its name, meaning “elder and younger sisters,” reflects the paired cascades that tumble side by side, creating a tranquil and picturesque setting.","From Kathmandu, drive to Dhankuta and continue to the local Didi-Baini Waterfall area.",500,A hidden natural gem surrounded by dense greenery and tranquility.,Didi-Baini Waterfall\Didi-Baini Waterfall 1.1.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.10.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.2.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.3.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.4.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.5.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.6.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.7.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.8.jpeg; Didi-Baini Waterfall\Didi-Baini Waterfall 1.9.jpeg,4.4,41.3,Moderate
10,barun valley,sankhuwasabha,Mar–May; Sep–Nov,Hidden Valley; Trekking; Nature,Natural Attractions,Trekking; Camping; Photography,Hard,Flight + Trekking,27.8667,87.2833,1,"Nestled below Mount Makalu, Barun Valley is a pristine wilderness of alpine meadows, waterfalls, and rare flora and fauna. Its untouched beauty makes it a paradise for trekkers seeking solitude and connection with nature.","From Kathmandu, fly to Tumlingtar in Sankhuwasabha and trek through the Makalu region to reach Barun Valley.",81,A pristine valley offering untouched wilderness below majestic Makalu.,Barun Valley\Barun Valley 1.1.jpeg; Barun Valley\Barun Valley 1.10.jpeg; Barun Valley\Barun Valley 1.2.jpeg; Barun Valley\Barun Valley 1.3.jpeg; Barun Valley\Barun Valley 1.4.jpeg; Barun Valley\Barun Valley 1.5.jpeg; Barun Valley\Barun Valley 1.6.jpeg; Barun Valley\Barun Valley 1.7.jpeg; Barun Valley\Barun Valley 1.8.jpeg; Barun Valley\Barun Valley 1.9.jpeg,4.8,20.4,Low
11,makalu barun national park,sankhuwasabha,Mar–May; Sep–Nov,Remote Trekking; Wilderness; Biodiversity,Trekking & Adventure,Trekking; Wildlife Spotting; Camping; Photography,Hard,Flight + Trekking,27.8833,87.2333,1,"Covering diverse landscapes from subtropical forests to snow-covered peaks, this park protects Mount Makalu and an incredible range of wildlife. It is one of the few places where tropical and alpine ecosystems coexist, offering unique biodiversity","From Kathmandu, fly to Tumlingtar and trek to reach Makalu Barun National Park in Sankhuwasabha.",369,A haven of biodiversity and rugged Himalayan landscapes.,Makalu Barun National Park\Makalu Barun National Park 1.1.jpeg; Makalu Barun National Park\Makalu Barun National Park 1.2.jpeg; Makalu Barun National Park\Makalu Barun National Park 1.3.jpeg; Makalu Barun National Park\Makalu Barun National Park 1.4.jpeg; Makalu Barun National Park\Makalu Barun National Park 1.5.jpeg; Makalu Barun National Park\Makalu Barun National Park 1.6.jpeg; Makalu Barun National Park\Makalu Barun National Park 1.7.jpeg; Makalu Barun National Park\Makalu Barun National Park 1.8.jpeg,4.5,53.9,Moderate
12,triveni dham,nawalparasi,Oct–Mar,"Pilgrimage Site, Religious Tourism, River Confluence, Hindu Temple",Natural Attractions,"Holy Bathing, Temple Visit, Religious Fair, Boating, Sightseeing",Easy,Road Accessible,27.45,83.93,1,"A sacred Hindu pilgrimage site at the confluence of three rivers, Triveni Dham is revered for its spiritual significance. Pilgrims gather here for rituals and fairs, making it a vibrant center of devotion and culture.","From Kathmandu, drive to Nawalpur via Narayanghat and continue toward the Triveni Dham pilgrimage site.",700,A sacred confluence where devotees gather for peace and purification.,,4.4,82.3,High
13,thamserku viewpoint,solukhumbu,"Mar–May, Sep–Nov","Mountain, Trekking, Viewpoint",Natural Attractions,"Trekking, Sunrise/Sunset Photography, Mountain Viewing",Hard,Trekking from Namche Bazaar,27.75,86.7,1,"This viewpoint offers breathtaking vistas of Thamserku peak, a striking mountain in the Everest region. It is a favorite stop for trekkers, providing a chance to admire the grandeur of the Himalayas.","From Kathmandu, fly to Lukla and trek through Namche Bazaar toward the Thamserku Viewpoint.From Kathmandu, fly to Lukla and trek via Namche Bazaar toward the Thamserku Viewpoint area.",14,A spectacular spot to witness the grandeur of Thamserku peak. Offers stunning close-up views of Thamserku peak and Everest range.,Thamserku Viewpoint\download (1).jpeg; Thamserku Viewpoint\download (2).jpeg; Thamserku Viewpoint\download (3).jpeg; Thamserku Viewpoint\download (5).jpeg; Thamserku Viewpoint\download.jpeg,4.8,11.8,Very Low
14,taplejung micro temple,taplejung,Oct–Mar,Temple; Local; Offbeat,Cultural & Religious Sites,Worship; Photography; Short Walk,Easy,Road + Short Walk,27.3,87.6,1,"A small but culturally important shrine in Taplejung, the temple reflects local traditions and spiritual devotion. Despite its size, it holds deep meaning for the community.","From Kathmandu, drive or fly to Taplejung and visit the local micro temple sites in the town.From Kathmandu, travel to Taplejung and visit the local micro temples within the town area.",1104,A small yet spiritually rich temple nestled in a remote mountain setting. A small local temple that adds charm to the mountain setting.,Taplejung\Taplejung 1.1.jpeg; Taplejung\Taplejung 1.10.jpeg; Taplejung\Taplejung 1.2.jpeg; Taplejung\Taplejung 1.3.jpeg; Taplejung\Taplejung 1.4.jpeg; Taplejung\Taplejung 1.5.jpeg; Taplejung\Taplejung 1.6.jpeg; Taplejung\Taplejung 1.7.jpeg; Taplejung\Taplejung 1.8.jpeg; Taplejung\Taplejung 1.9.jpeg,4.1,83.7,High
15,hile tiny viewpoint,dhankuta,Oct–Mar,Viewpoint; Nature; Offbeat,Natural Attractions,Photography; Short Walk; Nature Observation,Easy,Road + Short Walk,26.99,87.29,1,"A modest lookout near Hile, this viewpoint rewards visitors with sweeping views of surrounding hills and valleys, perfect for a quiet moment of reflection.","From Kathmandu, drive to Dhankuta and then to Hile where you can reach the tiny viewpoint nearby.From Kathmandu, drive toward Dharan and continue to Hile where you can reach the small viewpoint nearby.",866,Offers panoramic views of eastern hills and tea-clad slopes. Offers wide views of green hills and tea-clad landscapes.,Hile\hile 1.1.jpeg; Hile\hile 1.10.jpeg; Hile\hile 1.2.jpeg; Hile\hile 1.3.jpeg; Hile\hile 1.4.jpeg; Hile\hile 1.5.jpeg; Hile\hile 1.6.jpeg; Hile\hile 1.7.jpeg; Hile\hile 1.8.jpeg; Hile\hile 1.9.jpeg,4.3,72.2,High
